,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
19153,,bone pain,,,,,,,,,,=< t2b|normal pre-radical,,,,,,
19154,,pathology of the facet joints of the involved,,,,,,,,,,≥ 1.0 x g/l,,,,,,
19155,,biochemical hyper androgenesim.|polycystic ovaries.||,,,,,,,,,,>3.38 mmol/l,,,,,,
19156,,vitiligo,,,,,,,,,,more than 70% stenosis,,,,,,
19157,,intact periodontium,,,,,,,,,,less than 29 kg/m2||,,,,,,
19158,,neurologic dysfunction,,,,,,,,,,>=15%,,,,,,
19159,,duodenal ulcer,,,,,,,,,,20-70 years|no,,,,,,
19160,,substantial bm radiation,,,,,,,,,,>10 kg,,,,,,
19161,,simple hernia,,,,,,,,,,"< 50,000 per ml",,,,,,
19162,,gastritis,,,,,,,,,,>= 75 years|eastern,,,,,,
19163,,abdominal metastasis,,,,,,,,,,≥ 400 µm,,,,,,
19164,,bladder tumour found,,,,,,,,,,≥ 70 mg/dl|patients,,,,,,
19165,,atopic dermatitis exacerbations,,,,,,,,,,> 13.9 mmol/l,,,,,,
19166,,systemic condition,,,,,,,,,,<40%|resting,,,,,,
19167,,erythrodermic psoriasis,,,,,,,,,,less than 72h ago,,,,,,
19168,,ophthalmologic diseases,,,,,,,,,,18 years or older|chronic,,,,,,
19169,,good general health.|maxillary anterior tooth,,,,,,,,,,less than 1%,,,,,,
19170,,idiopathic intracranial hypertension,,,,,,,,,,> 35)|,,,,,,
19171,,lattice degeneration,,,,,,,,,,> 175%,,,,,,
19172,,genotype mutations,,,,,,,,,,≥18 years and ≤75 years;|ecog,,,,,,
19173,,progressive neurological,,,,,,,,,,1-2|otherwise,,,,,,
19174,,intrahepatic cholangiocarcinoma,,,,,,,,,,≥ 18 years|muscle cramp,,,,,,
19175,,psychotic episode,,,,,,,,,,9-12,,,,,,
19176,,linguistic incapability,,,,,,,,,,">= 1,500/mcl.|platelets",,,,,,
19177,,epidural hematoma,,,,,,,,,,0-1;|expected survival time,,,,,,
19178,,ulcerations|acute febrile processes|diagnosis,,,,,,,,,,18 to 75 years|sufficient command of the french language to understand the instructions|no,,,,,,
19179,,non-white race,,,,,,,,,,at least 12months.|willing and able to comply with the requirements,,,,,,
19180,,mucosal intolerance,,,,,,,,,,18 to 99 years,,,,,,
19181,,thought,,,,,,,,,,c grade,,,,,,
19182,,systemic disorder,,,,,,,,,,>=50%,,,,,,
19183,,cerebellar lesion,,,,,,,,,,<95.|score,,,,,,
19184,,solid malignancy irrespective,,,,,,,,,,< 2000 iu/ml;|screening,,,,,,
19185,,periodontal health,,,,,,,,,,< 92 %,,,,,,
19186,,subtance abuse|any disease state,,,,,,,,,,above 72%,,,,,,
19187,,myopathy,,,,,,,,,,between 14-19 years,,,,,,
19188,,pustular psoriasis,,,,,,,,,,>25 kg/m2|we,,,,,,
19189,,acute mental health care,,,,,,,,,,more than uln,,,,,,
19190,,lower limb reaching performance,,,,,,,,,,≥65 years.|patients,,,,,,
19191,,spinal surgery|having,,,,,,,,,,excluded,,,,,,
19192,,pulmonary embolism.|myocardial infarction,,,,,,,,,,<0.5 or >5.0 mu/l,,,,,,
19193,,concomitant skin conditions,,,,,,,,,,14-16,,,,,,
19194,,resolution,,,,,,,,,,>50% of the respiratory events,,,,,,
19195,,renal cell carcinoma,,,,,,,,,,90 cm,,,,,,
19196,,ductal carcinoma in situ of breast);|the,,,,,,,,,,>1.7.|patients,,,,,,
19197,,difficulty collecting blood|patients,,,,,,,,,,≤ 25%).||,,,,,,
19198,,epilepsy|recent epileptic seizure,,,,,,,,,,<140/90 mmhg;|fasted glucose,,,,,,
19199,,progressive cardiogenic shock,,,,,,,,,,≤ 5 × uln,,,,,,
19200,,mrse,,,,,,,,,,≥ 300,,,,,,
19201,,cm)|duodenal stenosis|post- surgical altered anatomy|benign disease,,,,,,,,,,stage iib,,,,,,
19202,,types of cancer,,,,,,,,,,3.0-4.0,,,,,,
19203,,fructan intolerance,,,,,,,,,,> 30|or waist circumferences,,,,,,
19204,,venous access point,,,,,,,,,,≤ 45%,,,,,,
19205,,breast-feeding|any,,,,,,,,,,≤ 2.5 times the upper limit of normal value,,,,,,
19206,,"mri,|previous intolerance",,,,,,,,,,≥ 10 grams,,,,,,
19207,,"using nsaids,|pregnancy",,,,,,,,,,>45 years,,,,,,
19208,,bronchial suctioning,,,,,,,,,,>450ms,,,,,,
19209,,hereditary diseases,,,,,,,,,,> 60 cm|prior therapeutic cranial irradiation|leptomeningeal dissemination,,,,,,
19210,,angiography.|significant,,,,,,,,,,≤ 18|patients for,,,,,,
19211,,non-culprit lesions,,,,,,,,,,more than or equal to 3,,,,,,
19212,,coagulopathy)|renal failure,,,,,,,,,,long-term use,,,,,,
19213,,infection.|sgnificant abdominal ascites,,,,,,,,,,at least 33,,,,,,
19214,,completed hepatitis c directed antiviral therapy,,,,,,,,,,hcv-rna,,,,,,
19215,,myocardial infarction.|in,,,,,,,,,,0-iic,,,,,,
19216,,cds,,,,,,,,,,<100 x 109/l)|bleeding disorders,,,,,,
19217,,neurological symptoms return,,,,,,,,,,0 to 2|anticipated,,,,,,
19218,,decreased renal function,,,,,,,,,,less than or equal to 60 ml/min/1.73m^2|history,,,,,,
19219,,common adverse events,,,,,,,,,,7-11,,,,,,
19220,,prolonged symptoms,,,,,,,,,,5 to 15 years born,,,,,,
19221,,third-degree,,,,,,,,,,> 5,,,,,,
19222,,breast feeding|known allergy to the study drugs,,,,,,,,,,< 1.5 times the upper limit of,,,,,,
19223,,fatty hepatic disease,,,,,,,,,,at least 50.0 kilogram (kg),,,,,,
19224,,over||pulmonary function tests:||40% predicted,,,,,,,,,,smokers meaning,,,,,,
19225,,teeth extracted,,,,,,,,,,=< 2.|histologically,,,,,,
19226,,immunosuppressive agents;|comorbidity,,,,,,,,,,between 20- 30 years,,,,,,
19227,,urothelial cancer|refused standard therapies,,,,,,,,,,0-1|pregnancy,,,,,,
19228,,non-melanoma skin,,,,,,,,,,<1.25 x upper limit of normal.||participants,,,,,,
19229,,"neurological disease,|previous bariatric surgery,|weight loss",,,,,,,,,,20-75,,,,,,
19230,,communicating the dutch language.|written informed consent,,,,,,,,,,0-28,,,,,,
19231,,obstructive sleep apnea-hypopnea,,,,,,,,,,equal or greater than 0.7,,,,,,
19232,,ethanol (alcohol),,,,,,,,,,equal to or greater than 30 kg/m2).|hba1c greater than 5.6%;|igf-1 level,,,,,,
19233,,early manifest hd,,,,,,,,,,less than 15mm|patients,,,,,,
19234,,status|active congestive heart failure,,,,,,,,,,< 3.0 x 109/l|platelet count,,,,,,
19235,,vertebral involvement,,,,,,,,,,equal to or higher than 80g/l,,,,,,
19236,,definitive dental care,,,,,,,,,,<4 grams per liter,,,,,,
19237,,substance dependency,,,,,,,,,,between 24 and 32 weeks,,,,,,
19238,,mixed adenocarcinoma,,,,,,,,,,> 70|healthy volunteer,,,,,,
19239,,hydroelectric shock wave lithotripsy,,,,,,,,,,< 30 ml per minute);|is,,,,,,
19240,,specific diseases.|specific diseases,,,,,,,,,,>2 times upper limit of normal)|those,,,,,,
19241,,hemiplegic,,,,,,,,,,40-60 years||,,,,,,
19242,,chronic pain,,,,,,,,,,>90 to ≤120 ml/min/1.73 m2,,,,,,
19243,,posterior segment inflammation,,,,,,,,,,< 37.5°c,,,,,,
19244,,other causes of fatigue complaints,,,,,,,,,,>30.0 kg/m^2.|weight change,,,,,,
19245,,poor oral hygiene,,,,,,,,,,>/= 4 weeks,,,,,,
19246,,urosepsis|cirrhosis,,,,,,,,,,20 - 40 mg,,,,,,
19247,,risk of failure,,,,,,,,,,<2.5 cm,,,,,,
19248,,episodes of neck pain,,,,,,,,,,lasting more than 5,,,,,,
19249,,acute promyelocytic leukemia.|peripheral blast count,,,,,,,,,,① those,,,,,,
19250,,lymphoma hodgkin lymphoma,,,,,,,,,,15-26|available/consenting,,,,,,
19251,,pulmonary hypertension,,,,,,,,,,18-30years.|participants,,,,,,
19252,,guillain barre syndrome,,,,,,,,,,>5.0 mu/l,,,,,,
19253,,acute respiratory illnesses,,,,,,,,,,>3x the upper limit of normal (uln),,,,,,
19254,,intracranial infarction,,,,,,,,,,< 48 h||,,,,,,
19255,,stage)|diabetes mellitus,,,,,,,,,,≥4 mm,,,,,,
19256,,hypogonadism,,,,,,,,,,18 to 73 years,,,,,,
19257,,light perception,,,,,,,,,,< 18 years and > 140/90 mmhg,,,,,,
19258,,metabolic bone disease,,,,,,,,,,over 18 years|non-smokers|normal findings,,,,,,
19259,,laboratory abnormality including:||absolute wbc count,,,,,,,,,,between 70-25 letters,,,,,,
19260,,inner ear infections,,,,,,,,,,greater than or equal to 4).|no knee injuries.|treatment,,,,,,
19261,,head injury,,,,,,,,,,less than 12,,,,,,
19262,,traumatic ca,,,,,,,,,,between ≥ 18.0 and ≤ 32.0 kg/m2,,,,,,
19263,,abo,,,,,,,,,,< 10 mg daily,,,,,,
19264,,allograft syndrome,,,,,,,,,,≥18 years)|mri diagnosis,,,,,,
19265,,nodules,,,,,,,,,,≥ 400 mg/dl|ldl,,,,,,
19266,,need dialysis|diarrhea,,,,,,,,,,>= 180 degrees of the circumference of the vessel,,,,,,
19267,,rheumatoid factor (rf),,,,,,,,,,18-45 years|diagnosis,,,,,,
19268,,hepatopulmonary shunt,,,,,,,,,,1 to 15 year,,,,,,
19269,,exercises|exercising regularly,,,,,,,,,,"< 150,000/ml",,,,,,
19270,,autoimmune hypothyroidism,,,,,,,,,,> 1.5 ×,,,,,,
19271,,trial|active infection,,,,,,,,,,>0,,,,,,
19272,,special conditions seriously endanger the patient's health,,,,,,,,,,from racism,,,,,,
19273,,comorbidity stable,,,,,,,,,,class 4= incapacitating disease,,,,,,
19274,,central vertigo|heart failure,,,,,,,,,,1.0 x 109,,,,,,
19275,,albuminuria.|figaro-dkd,,,,,,,,,,score of 0 to 1|if,,,,,,
19276,,retinal reattachment surgery,,,,,,,,,,18 years ≤ age,,,,,,
19277,,visit|airflow obstruction,,,,,,,,,,longer than 1 month)||,,,,,,
19278,,atrophy involves,,,,,,,,,,= 28%,,,,,,
19279,,intracranial haemorrhage.|pregnancy,,,,,,,,,,≥28 g/l,,,,,,
19280,,coronary syndrome,,,,,,,,,,> 2.0 mg/dl,,,,,,
19281,,susvimo,,,,,,,,,,< 1000 mm3,,,,,,
19282,,lack of response,,,,,,,,,,< 10s|able,,,,,,
19283,,respiratory stable,,,,,,,,,,> 3 units,,,,,,
19284,,not polyps,,,,,,,,,,18 years or more.||,,,,,,
19285,,related disorders,,,,,,,,,,>=2 × uln,,,,,,
19286,,cerebral functioning impairment,,,,,,,,,,<60ml/min/1.73m^2,,,,,,
19287,,autoimmune diseases;|carriage of,,,,,,,,,,18-85 years|female sex||,,,,,,
19288,,obsolete pulmonary tuberculosis,,,,,,,,,,6 and 17 years,,,,,,
19289,,luekemia,,,,,,,,,,< 30 ml per,,,,,,
19290,,prolonged loss of consciousness,,,,,,,,,,<=5 × uln,,,,,,
19291,,cerevascular malformation,,,,,,,,,,≥ 38.5 °c,,,,,,
19292,,acquiring tb infection,,,,,,,,,,≥ 18 years|histologic diagnosis,,,,,,
19293,,unconsciousness,,,,,,,,,,≤ 2 tests,,,,,,
19294,,myasthenia gravis;|preoperative delirium,,,,,,,,,,greater than equal to 2 milligrams per liter,,,,,,
19295,,recurrence of malignant tumor;|patients,,,,,,,,,,≥ 0.5|global,,,,,,
19296,,lymphedema of the upper extremity,,,,,,,,,,1-3|scheduled surgery,,,,,,
19297,,dysgnosia neurogenic bladder,,,,,,,,,,>= 18 years|eligibility criteria,,,,,,
19298,,substance-induced,,,,,,,,,,18.5≦bmi<25.0,,,,,,
19299,,heparin-induced thrombocytopenia,,,,,,,,,,0-1;||bone marrow examination,,,,,,
19300,,anatomic asplenia,,,,,,,,,,≥ the 95th percentile,,,,,,
19301,,inferolateral wall thickness,,,,,,,,,,0-2；|child,,,,,,
19302,,hbvc+,,,,,,,,,,from 50gy to 66gy;|ecog,,,,,,
19303,,middle cerebral artery (,,,,,,,,,,less than two times the normal level.|serum follicle-stimulating hormone (fsh) levels,,,,,,
19304,,tobacco use disorder,,,,,,,,,,≤ 1.5 × uln||eligible,,,,,,
19305,,acute disseminated encephalomyelitis,,,,,,,,,,0-1.|no,,,,,,
19306,,retinitis pigmentosa,,,,,,,,,,> 5 mg/day,,,,,,
19307,,reproductive capability will need,,,,,,,,,,<1.5 x upper limit of normal (uln),,,,,,
19308,,systemic disease,,,,,,,,,,score <= 30,,,,,,
19309,,acute infection,,,,,,,,,,0,,,,,,
19310,,heat burn,,,,,,,,,,≤ 1.5 × uln;|total,,,,,,
19311,,exudative pleural effusion,,,,,,,,,,1-age,,,,,,
19312,,present ulcer,,,,,,,,,,between 25 and 65 years|the,,,,,,
19313,,gastrointestinal bleeding.|myocardial infarction,,,,,,,,,,>= 1 week prior to study treatment.|substrates of cyp3a4/5,,,,,,
19314,,degenerative dementias,,,,,,,,,,<3rd percentile,,,,,,
19315,,ecg)).|those,,,,,,,,,,18-65 years|body mass index,,,,,,
19316,,aeroallergen,,,,,,,,,,of iii or iv,,,,,,
19317,,localized tumors,,,,,,,,,,>= 10g / dl,,,,,,
19318,,severe obstruction,,,,,,,,,,<8 mmol/l,,,,,,
19319,,peroneal nerve lesions|cognitive,,,,,,,,,,40-65 years;|4,,,,,,
19320,,hip flexion limitation,,,,,,,,,,between 18 and 65 years|people classified,,,,,,
19321,,primary refractory mm|impaired cardiovascular function,,,,,,,,,,products|allergic to or,,,,,,
19322,,cardiac symptoms stable,,,,,,,,,,< 22,,,,,,
19323,,neurologic problem,,,,,,,,,,<50 ml/min;|a,,,,,,
19324,,ballana,,,,,,,,,,"7.0% to 10.0%, inclusive",,,,,,
19325,,rotatory instability after acl injury;|primary aclr cases||,,,,,,,,,,"≥ 30 kg/m^2,|have",,,,,,
19326,,verbal learning,,,,,,,,,,≥ 18 yo|sex=female|patients,,,,,,
19327,,developmental delay.||inclusion criteria,,,,,,,,,,≥90 g,,,,,,
19328,,rv/lv ratio,,,,,,,,,,between 18-60 years,,,,,,
19329,,age|arrhythmia,,,,,,,,,,lower than 35;|with,,,,,,
19330,,histopathologic changes,,,,,,,,,,<50%；|atrial fibrillation,,,,,,
19331,,radicular neurological signs|spinal deformity e.g.scoliosis,,,,,,,,,,≥ 42,,,,,,
19332,,territorial stroke,,,,,,,,,,20-45|those,,,,,,
19333,,left atrial appendage tissue,,,,,,,,,,150kg,,,,,,
19334,,vestibular schwannoma,,,,,,,,,,grades i-iii|there,,,,,,
19335,,liver cancer assessment model,,,,,,,,,,≥ 40 kg/m^2,,,,,,
19336,,anhydramnios|fetal thoracentesis,,,,,,,,,,"400-500, inclusive",,,,,,
19337,,atrial/ventricular,,,,,,,,,,> 1.5 × uln|the,,,,,,
19338,,nociceptive scrotal,,,,,,,,,,> 160 mghg,,,,,,
19339,,developmental problems beyond autism spectrum disorder,,,,,,,,,,18 years or older.|presenting,,,,,,
19340,,fainting,,,,,,,,,,>1,,,,,,
19341,,neuralgia.|recent infections,,,,,,,,,,between 50 and 90 beats per minute,,,,,,
19342,,narcotic drug abuse,,,,,,,,,,< 19,,,,,,
19343,,"heart failure,|routine",,,,,,,,,,outside the 18.0 ~ 27.0 kg/m²,,,,,,
19344,,6 months||for ehoa,,,,,,,,,,>2 times than upper normal,,,,,,
19345,,present.|for aml,,,,,,,,,,"0, 1 or 2",,,,,,
19346,,unresolved psychiatric illness,,,,,,,,,,> 2 months)|lifetime,,,,,,
19347,,lack of intelligence,,,,,,,,,,greater than 3 months,,,,,,
19348,,gastrointestinal cancer,,,,,,,,,,≤ctcae grade 1,,,,,,
19349,,hepatic dysfunction|significant kidney disease|pregnant,,,,,,,,,,<80°|individuals,,,,,,
19350,,gastrointestinal organic diseases,,,,,,,,,,under 18 or over,,,,,,
19351,,idiopathic mcas,,,,,,,,,,< 40 kg/m2|american society of anesthesiologists,,,,,,
19352,,white kidney beans.|subjects bmi,,,,,,,,,,130-154 mmhg,,,,,,
19353,,allowed.|able to see and hear sufficiently to undertake assessments,,,,,,,,,,≥ 30 ml/min per,,,,,,
19354,,episodic migraines,,,,,,,,,,below 100mmhg;|use of,,,,,,
19355,,post-orthodontic periodontal,,,,,,,,,,> 95%|subjective insufficient symptom control with ppi therapy,,,,,,
19356,,ischemic attack|peripheral arterial,,,,,,,,,,60 years or older,,,,,,
19357,,revascularisation,,,,,,,,,,≥ 5x10^6|treatment,,,,,,
19358,,chronic obstructive pulmonary disease;|any,,,,,,,,,,≤ 1.5 upper limit of normal,,,,,,
19359,,primary immunodeficiencies,,,,,,,,,,>10ⅹ109/l,,,,,,
19360,,progressive scans,,,,,,,,,,10-30%,,,,,,
19361,,target mismatch profile on,,,,,,,,,,equal to or above 6 months prior to screening,,,,,,
19362,,canines,,,,,,,,,,> than 50 units,,,,,,
19363,,acute meniscus,,,,,,,,,,> 5 mmol/l|absolute neutrophil count,,,,,,
19364,,lack of physical,,,,,,,,,,"> 1,250/mm3||the",,,,,,
19365,,biologic disease-modifying,,,,,,,,,,greater than 30%,,,,,,
19366,,regimens,,,,,,,,,,>1.5mg/dl,,,,,,
19367,,language translator,,,,,,,,,,< 2.5 g/g,,,,,,
19368,,liver cirrhosis;|alcohol abuse,,,,,,,,,,t1d)|be 19 years,,,,,,
19369,,cognitive dysfunction|progressive,,,,,,,,,,>40 iu/l,,,,,,
19370,,urethral prosthesis.|bladder neck,,,,,,,,,,≥18 years;|patients presenting to gastroenterologist,,,,,,
19371,,above|ability to read,,,,,,,,,,18-45|being,,,,,,
19372,,intravenous immune globulin,,,,,,,,,,< 2.||patients,,,,,,
19373,,multiple endocrine neoplasia,,,,,,,,,,i to iii|patients,,,,,,
19374,,gastrointestinal bleeding anesthetic drugs,,,,,,,,,,> 500iu/ml,,,,,,
19375,,nasal sinus packing,,,,,,,,,,≥ 11 g/dl,,,,,,
19376,,gastric carcinoma,,,,,,,,,,< 1% expression of,,,,,,
19377,,poor performance status,,,,,,,,,,>400 ng/ml;|tsat,,,,,,
19378,,acute gastritis,,,,,,,,,,>1.5 mg/dl|random,,,,,,
19379,,rheumatoid arthritis etc.)||medication,,,,,,,,,,"class 1,2, 3",,,,,,
19380,,plla allergy,,,,,,,,,,18-75|not,,,,,,
19381,,hyperprolactinemia,,,,,,,,,,18-70 years.|clinical,,,,,,
19382,,bleeding complication,,,,,,,,,,60% or lower,,,,,,
19383,,lack of access,,,,,,,,,,≥50 years,,,,,,
19384,,primary substance,,,,,,,,,,2 to 3 months,,,,,,
19385,,dominant polycystic kidney disease,,,,,,,,,,< 5 million/ml,,,,,,
19386,,dental condition,,,,,,,,,,greater than or equal to 2 weeks,,,,,,
19387,,bmba,,,,,,,,,,> 5 cm,,,,,,
19388,,chemical menopause,,,,,,,,,,< 6 abnormal,,,,,,
19389,,corneal ulceration,,,,,,,,,,≤2.0 mg/dl|aspartate transaminase (ast): ≤100 iu/l,,,,,,
19390,,poor sleep quality,,,,,,,,,,≥ 18 years|patient,,,,,,
19391,,eye|presence,,,,,,,,,,<300,,,,,,
19392,,full haplotype match,,,,,,,,,,25-40 years,,,,,,
19393,,preterm,,,,,,,,,,19 to 26 kg/m2,,,,,,
19394,,colorectal cancer surgery,,,,,,,,,,stage c,,,,,,
19395,,covid-19-associated,,,,,,,,,,< 60 ml/minute/1.73 m2 7,,,,,,
19396,,nonplaque forms,,,,,,,,,,≥ 2cm,,,,,,
19397,,epidermal growth factor receptor therapy,,,,,,,,,,,,,,,,
19398,,retinal toxicity,,,,,,,,,,,,,,,,
19399,,asthma controller medications,,,,,,,,,,,,,,,,
19400,,grunting).||exclusion,,,,,,,,,,,,,,,,
19401,,chronic anal fissure,,,,,,,,,,,,,,,,
19402,,vitrectomy||,,,,,,,,,,,,,,,,
19403,,cardiac ischemia,,,,,,,,,,,,,,,,
19404,,skin basal cell carcinoma,,,,,,,,,,,,,,,,
19405,,chronic thromboembolic pulmonary,,,,,,,,,,,,,,,,
19406,,chronic obstructive lung,,,,,,,,,,,,,,,,
19407,,physical activities herein described||,,,,,,,,,,,,,,,,
19408,,clinical presentation of agitation,,,,,,,,,,,,,,,,
19409,,vestibular neuritis,,,,,,,,,,,,,,,,
19410,,intrahepatic cholestasis,,,,,,,,,,,,,,,,
19411,,face masks,,,,,,,,,,,,,,,,
19412,,radiation pneumonitis,,,,,,,,,,,,,,,,
19413,,arthritis,,,,,,,,,,,,,,,,
19414,,reduced ejection fraction,,,,,,,,,,,,,,,,
19415,,neuropsychiatric conditions,,,,,,,,,,,,,,,,
19416,,cutaneous disease,,,,,,,,,,,,,,,,
19417,,etantr,,,,,,,,,,,,,,,,
19418,,amyl nitrite,,,,,,,,,,,,,,,,
19419,,third interstitial fluid,,,,,,,,,,,,,,,,
19420,,middle chest,,,,,,,,,,,,,,,,
19421,,normal wall motion,,,,,,,,,,,,,,,,
19422,,type 2)||at least one additional risk factor for heart failure:||coronary artery disease,,,,,,,,,,,,,,,,
19423,,dotatate,,,,,,,,,,,,,,,,
19424,,caries;|children,,,,,,,,,,,,,,,,
19425,,cardiovascular disease.|uncontrolled,,,,,,,,,,,,,,,,
19426,,lower extremity crps type 1 (also called rsd-reflex sympathetic dystrophy,,,,,,,,,,,,,,,,
19427,,vision problems.|medically instable patients.|balance disorders.|other musculoskeletal condition of shoulders,,,,,,,,,,,,,,,,
19428,,therapeutic products,,,,,,,,,,,,,,,,
19429,,healthy rabbits|rabbits,,,,,,,,,,,,,,,,
19430,,multi-parametric magnetic resonance imaging|gleason score≤,,,,,,,,,,,,,,,,
19431,,complete behçet's disease,,,,,,,,,,,,,,,,
19432,,blv,,,,,,,,,,,,,,,,
19433,,shoulder abduction - mrc,,,,,,,,,,,,,,,,
19434,,type-2 diabetic,,,,,,,,,,,,,,,,
19435,,colorectal polyps,,,,,,,,,,,,,,,,
19436,,clear progression,,,,,,,,,,,,,,,,
19437,,frequent bleeding,,,,,,,,,,,,,,,,
19438,,pulmonary thromboendarterectomy,,,,,,,,,,,,,,,,
19439,,cancer treatments,,,,,,,,,,,,,,,,
19440,,histologies,,,,,,,,,,,,,,,,
19441,,excessive alcohol consumption,,,,,,,,,,,,,,,,
19442,,primary immune comprised disease.|ph+ t-lbl|patients,,,,,,,,,,,,,,,,
19443,,drug allergies,,,,,,,,,,,,,,,,
19444,,blood pressure,,,,,,,,,,,,,,,,
19445,,myeloid growth factor support,,,,,,,,,,,,,,,,
19446,,osteoporosis prophylaxis,,,,,,,,,,,,,,,,
19447,,good hygiene,,,,,,,,,,,,,,,,
19448,,cohort 1(aortic stenosis):||male,,,,,,,,,,,,,,,,
19449,,neurologic disorder|poorly,,,,,,,,,,,,,,,,
19450,,parathyroid gland,,,,,,,,,,,,,,,,
19451,,lack of compliance with clinic visits,,,,,,,,,,,,,,,,
19452,,clinical symptoms of,,,,,,,,,,,,,,,,
19453,,cutaneous photosensitization,,,,,,,,,,,,,,,,
19454,,ipsilateral deep venous thrombosis,,,,,,,,,,,,,,,,
19455,,vsd)|stroke,,,,,,,,,,,,,,,,
19456,,potential effects,,,,,,,,,,,,,,,,
19457,,human immunodeficiency virus (hiv) infection.|patients who are,,,,,,,,,,,,,,,,
19458,,serious disorder,,,,,,,,,,,,,,,,
19459,,rvo,,,,,,,,,,,,,,,,
19460,,congenital abnormalities,,,,,,,,,,,,,,,,
19461,,arterial hypotension,,,,,,,,,,,,,,,,
19462,,symptoms related,,,,,,,,,,,,,,,,
19463,,optic neuropathy,,,,,,,,,,,,,,,,
19464,,6.active infection,,,,,,,,,,,,,,,,
19465,,causing voiding dysfunction.|positive prostatic urethral biopsy,,,,,,,,,,,,,,,,
19466,,rheumatoid arthritis|had,,,,,,,,,,,,,,,,
19467,,ihc 1+,,,,,,,,,,,,,,,,
19468,,unclassifiable with features,,,,,,,,,,,,,,,,
19469,,patellar pathology,,,,,,,,,,,,,,,,
19470,,prn,,,,,,,,,,,,,,,,
19471,,allergic diseases|a,,,,,,,,,,,,,,,,
19472,,liver function|men,,,,,,,,,,,,,,,,
19473,,vasovagal syncope,,,,,,,,,,,,,,,,
19474,,degenerative condition,,,,,,,,,,,,,,,,
19475,,heart catheterization,,,,,,,,,,,,,,,,
19476,,isoflavones.|blood pressure,,,,,,,,,,,,,,,,
19477,,superficial skin cancers,,,,,,,,,,,,,,,,
19478,,irritable bowel syndrome)|heart disease,,,,,,,,,,,,,,,,
19479,,coronary artery disease-related,,,,,,,,,,,,,,,,
19480,,cognitive dysfunction,,,,,,,,,,,,,,,,
19481,,health professional.|individual,,,,,,,,,,,,,,,,
19482,,corneal scarring,,,,,,,,,,,,,,,,
19483,,dsa,,,,,,,,,,,,,,,,
19484,,basal,,,,,,,,,,,,,,,,
19485,,nonalcoholic steatohepatitis,,,,,,,,,,,,,,,,
19486,,estrogen-receptor positive,,,,,,,,,,,,,,,,
19487,,coiling,,,,,,,,,,,,,,,,
19488,,pte,,,,,,,,,,,,,,,,
19489,,etc.).|bleeding disorders,,,,,,,,,,,,,,,,
19490,,allergic symptoms,,,,,,,,,,,,,,,,
19491,,colorectal adenocarcinoma,,,,,,,,,,,,,,,,
19492,,autoimmune diseases|patients,,,,,,,,,,,,,,,,
19493,,m2 segment,,,,,,,,,,,,,,,,
19494,,incisional wounds,,,,,,,,,,,,,,,,
19495,,good home care||,,,,,,,,,,,,,,,,
19496,,claims,,,,,,,,,,,,,,,,
19497,,pneumococcal infectious diseases,,,,,,,,,,,,,,,,
19498,,exposure,,,,,,,,,,,,,,,,
19499,,progressive growth,,,,,,,,,,,,,,,,
19500,,multiple allergies,,,,,,,,,,,,,,,,
19501,,substance intoxication,,,,,,,,,,,,,,,,
19502,,cardio-vascular disease,,,,,,,,,,,,,,,,
19503,,sars-cov-2;|negative qrt-pcr nucleic acid test,,,,,,,,,,,,,,,,
19504,,bowel movement,,,,,,,,,,,,,,,,
19505,,corneal disorder,,,,,,,,,,,,,,,,
19506,,normal hepatic function.||inclusion criteria,,,,,,,,,,,,,,,,
19507,,"indemnities for clinical trial higher or equal to 4500 euros,|under legal",,,,,,,,,,,,,,,,
